index,Treatment,Time,Donor
Enosh276-I3D9,RS,Initial,D6
Enosh295-B1D10,Blank,Final,D7
Enosh296-B2D10,Blank,Final,D7
Enosh297-B3D10,Blank,Final,D7
Enosh298-F1D10,FOS,Final,D7
Enosh299-F2D10,FOS,Final,D7
Enosh300-F3D10,FOS,Final,D7
Enosh301-P1D10,Pectin,Final,D7
Enosh302-P2D10,Pectin,Final,D7
Enosh303-P3D10,Pectin,Final,D7
Enosh304-R1D10,RS,Final,D7
Enosh305-R2D10,RS,Final,D7
Enosh306-R3D10,RS,Final,D7
Enosh307-G1D10,Glucan,Final,D7
Enosh308-G2D10,Glucan,Final,D7
Enosh309-G3D10,Glucan,Final,D7
Enosh292-I1D10,Blank,Initial,D7
Enosh293-I2D10,Blank,Initial,D7
Enosh294-I3D10,Blank,Initial,D7
Enosh292-I1D10,FOS,Initial,D7
Enosh293-I2D10,FOS,Initial,D7
Enosh294-I3D10,FOS,Initial,D7
Enosh292-I1D10,Glucan,Initial,D7
Enosh293-I2D10,Glucan,Initial,D7
Enosh294-I3D10,Glucan,Initial,D7
Enosh292-I1D10,Pectin,Initial,D7
Enosh293-I2D10,Pectin,Initial,D7
Enosh294-I3D10,Pectin,Initial,D7
Enosh292-I1D10,RS,Initial,D7
Enosh293-I2D10,RS,Initial,D7
Enosh294-I3D10,RS,Initial,D7
Enosh313-B1D11,Blank,Final,D8
Enosh314-B2D11,Blank,Final,D8
Enosh315-B3D11,Blank,Final,D8
Enosh316-F1D11,FOS,Final,D8
Enosh317-F2D11,FOS,Final,D8
Enosh318-F3D11,FOS,Final,D8
Enosh319-P1D11,Pectin,Final,D8
Enosh320-P2D11,Pectin,Final,D8
Enosh321-P3D11,Pectin,Final,D8
Enosh322-R1D11,RS,Final,D8
Enosh323-R2D11,RS,Final,D8
Enosh324-R3D11,RS,Final,D8
Enosh325-G1D11,Glucan,Final,D8
Enosh326-G2D11,Glucan,Final,D8
Enosh327-G3D11,Glucan,Final,D8
Enosh310-I1D11,Blank,Initial,D8
Enosh311-I2D11,Blank,Initial,D8
Enosh312-I3D11,Blank,Initial,D8
Enosh310-I1D11,FOS,Initial,D8
Enosh311-I2D11,FOS,Initial,D8
Enosh312-I3D11,FOS,Initial,D8
Enosh310-I1D11,Glucan,Initial,D8
Enosh311-I2D11,Glucan,Initial,D8
Enosh312-I3D11,Glucan,Initial,D8
Enosh310-I1D11,Pectin,Initial,D8
Enosh311-I2D11,Pectin,Initial,D8
Enosh312-I3D11,Pectin,Initial,D8
Enosh310-I1D11,RS,Initial,D8
Enosh311-I2D11,RS,Initial,D8
Enosh312-I3D11,RS,Initial,D8
Enosh331-B1D12,Blank,Final,D9
Enosh332-B2D12,Blank,Final,D9
Enosh333-B3D12,Blank,Final,D9
Enosh334-F1D12,FOS,Final,D9
Enosh335-F2D12,FOS,Final,D9
Enosh336-F3D12,FOS,Final,D9
Enosh337-P1D12,Pectin,Final,D9
Enosh338-P2D12,Pectin,Final,D9
Enosh339-P3D12,Pectin,Final,D9
Enosh341-R2D12,RS,Final,D9
Enosh342-R3D12,RS,Final,D9
Enosh343-G1D12,Glucan,Final,D9
Enosh344-G2D12,Glucan,Final,D9
Enosh345-G3D12,Glucan,Final,D9
Enosh347-R1D12,RS,Final,D9
Enosh328-I1D12,Blank,Initial,D9
Enosh329-I2D12,Blank,Initial,D9
Enosh330-I3D12,Blank,Initial,D9
Enosh328-I1D12,FOS,Initial,D9
Enosh329-I2D12,FOS,Initial,D9
Enosh330-I3D12,FOS,Initial,D9
Enosh328-I1D12,Glucan,Initial,D9
Enosh329-I2D12,Glucan,Initial,D9
Enosh330-I3D12,Glucan,Initial,D9
Enosh328-I1D12,Pectin,Initial,D9
Enosh329-I2D12,Pectin,Initial,D9
Enosh330-I3D12,Pectin,Initial,D9
Enosh328-I1D12,RS,Initial,D9
Enosh329-I2D12,RS,Initial,D9
Enosh330-I3D12,RS,Initial,D9
